Neighborhood,Id,Estimate; Total:,Margin of Error; Total:,Estimate; Householder under 25 years:,Margin of Error; Householder under 25 years:,"Estimate; Householder under 25 years: - Less than $10,000","Margin of Error; Householder under 25 years: - Less than $10,000","Estimate; Householder under 25 years: - $10,000 to $14,999","Margin of Error; Householder under 25 years: - $10,000 to $14,999","Estimate; Householder under 25 years: - $15,000 to $19,999","Margin of Error; Householder under 25 years: - $15,000 to $19,999","Estimate; Householder under 25 years: - $20,000 to $24,999","Margin of Error; Householder under 25 years: - $20,000 to $24,999","Estimate; Householder under 25 years: - $25,000 to $29,999","Margin of Error; Householder under 25 years: - $25,000 to $29,999","Estimate; Householder under 25 years: - $30,000 to $34,999","Margin of Error; Householder under 25 years: - $30,000 to $34,999","Estimate; Householder under 25 years: - $35,000 to $39,999","Margin of Error; Householder under 25 years: - $35,000 to $39,999","Estimate; Householder under 25 years: - $40,000 to $44,999","Margin of Error; Householder under 25 years: - $40,000 to $44,999","Estimate; Householder under 25 years: - $45,000 to $49,999","Margin of Error; Householder under 25 years: - $45,000 to $49,999","Estimate; Householder under 25 years: - $50,000 to $59,999","Margin of Error; Householder under 25 years: - $50,000 to $59,999","Estimate; Householder under 25 years: - $60,000 to $74,999","Margin of Error; Householder under 25 years: - $60,000 to $74,999","Estimate; Householder under 25 years: - $75,000 to $99,999","Margin of Error; Householder under 25 years: - $75,000 to $99,999","Estimate; Householder under 25 years: - $100,000 to $124,999","Margin of Error; Householder under 25 years: - $100,000 to $124,999","Estimate; Householder under 25 years: - $125,000 to $149,999","Margin of Error; Householder under 25 years: - $125,000 to $149,999","Estimate; Householder under 25 years: - $150,000 to $199,999","Margin of Error; Householder under 25 years: - $150,000 to $199,999","Estimate; Householder under 25 years: - $200,000 or more","Margin of Error; Householder under 25 years: - $200,000 or more",Estimate; Householder 25 to 44 years:,Margin of Error; Householder 25 to 44 years:,"Estimate; Householder 25 to 44 years: - Less than $10,000","Margin of Error; Householder 25 to 44 years: - Less than $10,000","Estimate; Householder 25 to 44 years: - $10,000 to $14,999","Margin of Error; Householder 25 to 44 years: - $10,000 to $14,999","Estimate; Householder 25 to 44 years: - $15,000 to $19,999","Margin of Error; Householder 25 to 44 years: - $15,000 to $19,999","Estimate; Householder 25 to 44 years: - $20,000 to $24,999","Margin of Error; Householder 25 to 44 years: - $20,000 to $24,999","Estimate; Householder 25 to 44 years: - $25,000 to $29,999","Margin of Error; Householder 25 to 44 years: - $25,000 to $29,999","Estimate; Householder 25 to 44 years: - $30,000 to $34,999","Margin of Error; Householder 25 to 44 years: - $30,000 to $34,999","Estimate; Householder 25 to 44 years: - $35,000 to $39,999","Margin of Error; Householder 25 to 44 years: - $35,000 to $39,999","Estimate; Householder 25 to 44 years: - $40,000 to $44,999","Margin of Error; Householder 25 to 44 years: - $40,000 to $44,999","Estimate; Householder 25 to 44 years: - $45,000 to $49,999","Margin of Error; Householder 25 to 44 years: - $45,000 to $49,999","Estimate; Householder 25 to 44 years: - $50,000 to $59,999","Margin of Error; Householder 25 to 44 years: - $50,000 to $59,999","Estimate; Householder 25 to 44 years: - $60,000 to $74,999","Margin of Error; Householder 25 to 44 years: - $60,000 to $74,999","Estimate; Householder 25 to 44 years: - $75,000 to $99,999","Margin of Error; Householder 25 to 44 years: - $75,000 to $99,999","Estimate; Householder 25 to 44 years: - $100,000 to $124,999","Margin of Error; Householder 25 to 44 years: - $100,000 to $124,999","Estimate; Householder 25 to 44 years: - $125,000 to $149,999","Margin of Error; Householder 25 to 44 years: - $125,000 to $149,999","Estimate; Householder 25 to 44 years: - $150,000 to $199,999","Margin of Error; Householder 25 to 44 years: - $150,000 to $199,999","Estimate; Householder 25 to 44 years: - $200,000 or more","Margin of Error; Householder 25 to 44 years: - $200,000 or more",Estimate; Householder 45 to 64 years:,Margin of Error; Householder 45 to 64 years:,"Estimate; Householder 45 to 64 years: - Less than $10,000","Margin of Error; Householder 45 to 64 years: - Less than $10,000","Estimate; Householder 45 to 64 years: - $10,000 to $14,999","Margin of Error; Householder 45 to 64 years: - $10,000 to $14,999","Estimate; Householder 45 to 64 years: - $15,000 to $19,999","Margin of Error; Householder 45 to 64 years: - $15,000 to $19,999","Estimate; Householder 45 to 64 years: - $20,000 to $24,999","Margin of Error; Householder 45 to 64 years: - $20,000 to $24,999","Estimate; Householder 45 to 64 years: - $25,000 to $29,999","Margin of Error; Householder 45 to 64 years: - $25,000 to $29,999","Estimate; Householder 45 to 64 years: - $30,000 to $34,999","Margin of Error; Householder 45 to 64 years: - $30,000 to $34,999","Estimate; Householder 45 to 64 years: - $35,000 to $39,999","Margin of Error; Householder 45 to 64 years: - $35,000 to $39,999","Estimate; Householder 45 to 64 years: - $40,000 to $44,999","Margin of Error; Householder 45 to 64 years: - $40,000 to $44,999","Estimate; Householder 45 to 64 years: - $45,000 to $49,999","Margin of Error; Householder 45 to 64 years: - $45,000 to $49,999","Estimate; Householder 45 to 64 years: - $50,000 to $59,999","Margin of Error; Householder 45 to 64 years: - $50,000 to $59,999","Estimate; Householder 45 to 64 years: - $60,000 to $74,999","Margin of Error; Householder 45 to 64 years: - $60,000 to $74,999","Estimate; Householder 45 to 64 years: - $75,000 to $99,999","Margin of Error; Householder 45 to 64 years: - $75,000 to $99,999","Estimate; Householder 45 to 64 years: - $100,000 to $124,999","Margin of Error; Householder 45 to 64 years: - $100,000 to $124,999","Estimate; Householder 45 to 64 years: - $125,000 to $149,999","Margin of Error; Householder 45 to 64 years: - $125,000 to $149,999","Estimate; Householder 45 to 64 years: - $150,000 to $199,999","Margin of Error; Householder 45 to 64 years: - $150,000 to $199,999","Estimate; Householder 45 to 64 years: - $200,000 or more","Margin of Error; Householder 45 to 64 years: - $200,000 or more",Estimate; Householder 65 years and over:,Margin of Error; Householder 65 years and over:,"Estimate; Householder 65 years and over: - Less than $10,000","Margin of Error; Householder 65 years and over: - Less than $10,000","Estimate; Householder 65 years and over: - $10,000 to $14,999","Margin of Error; Householder 65 years and over: - $10,000 to $14,999","Estimate; Householder 65 years and over: - $15,000 to $19,999","Margin of Error; Householder 65 years and over: - $15,000 to $19,999","Estimate; Householder 65 years and over: - $20,000 to $24,999","Margin of Error; Householder 65 years and over: - $20,000 to $24,999","Estimate; Householder 65 years and over: - $25,000 to $29,999","Margin of Error; Householder 65 years and over: - $25,000 to $29,999","Estimate; Householder 65 years and over: - $30,000 to $34,999","Margin of Error; Householder 65 years and over: - $30,000 to $34,999","Estimate; Householder 65 years and over: - $35,000 to $39,999","Margin of Error; Householder 65 years and over: - $35,000 to $39,999","Estimate; Householder 65 years and over: - $40,000 to $44,999","Margin of Error; Householder 65 years and over: - $40,000 to $44,999","Estimate; Householder 65 years and over: - $45,000 to $49,999","Margin of Error; Householder 65 years and over: - $45,000 to $49,999","Estimate; Householder 65 years and over: - $50,000 to $59,999","Margin of Error; Householder 65 years and over: - $50,000 to $59,999","Estimate; Householder 65 years and over: - $60,000 to $74,999","Margin of Error; Householder 65 years and over: - $60,000 to $74,999","Estimate; Householder 65 years and over: - $75,000 to $99,999","Margin of Error; Householder 65 years and over: - $75,000 to $99,999","Estimate; Householder 65 years and over: - $100,000 to $124,999","Margin of Error; Householder 65 years and over: - $100,000 to $124,999","Estimate; Householder 65 years and over: - $125,000 to $149,999","Margin of Error; Householder 65 years and over: - $125,000 to $149,999","Estimate; Householder 65 years and over: - $150,000 to $199,999","Margin of Error; Householder 65 years and over: - $150,000 to $199,999","Estimate; Householder 65 years and over: - $200,000 or more","Margin of Error; Householder 65 years and over: - $200,000 or more"
Allegheny Center,1,733,103,138,56,74,51,10,17,0,10,0,10,0,10,0,10,12,12,0,10,10,15,5,8,11,13,16,26,0,10,0,10,0,10,0,10,285,78,27,33,46,40,14,14,25,15,7,10,30,39,7,11,7,11,29,23,36,37,8,11,39,23,6,10,4,7,0,10,0,10,194,77,86,68,12,9,0,10,13,14,0,10,22,35,0,10,6,10,7,10,0,10,7,9,0,10,6,9,0,10,23,38,12,13,116,53,38,49,7,11,12,12,21,19,7,10,0,10,0,10,0,10,0,10,20,18,5,7,0,10,0,10,6,9,0,10,0,10
Allegheny West,2,150,46,12,12,0,10,0,10,0,10,0,10,6,9,0,10,0,10,6,8,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,45,27,0,10,0,10,0,10,0,10,7,9,0,10,17,20,6,8,0,10,6,10,0,10,0,10,0,10,0,10,3,6,6,10,53,26,0,10,0,10,0,10,11,11,3,6,0,10,0,10,0,10,0,10,0,10,6,9,11,11,11,12,0,10,0,10,11,16,40,30,0,10,4,7,13,19,0,10,6,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,17,18
Allentown,3,1138.0,152.751432072,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,441.0,138.740765458,97.0,67.2160695072,0.0,17.3205080757,96.0,93.7656653579,0.0,17.3205080757,15.0,27.8567765544,58.0,53.4602656185,38.0,36.823905279,0.0,17.3205080757,13.0,24.4948974278,44.0,42.9418211072,31.0,26.7020598457,0.0,17.3205080757,29.0,50.0399840128,20.0,30.4795013082,0.0,17.3205080757,0.0,17.3205080757,471.0,117.898261226,91.0,54.055527007,27.0,32.939338184,9.0,21.3541565041,86.0,61.9112267686,35.0,57.7581163128,9.0,19.8997487421,45.0,38.2230297072,77.0,66.5206734782,10.0,22.8910462845,9.0,21.3541565041,59.0,39.8748040747,0.0,17.3205080757,10.0,22.1133443875,0.0,17.3205080757,0.0,17.3205080757,4.0,17.3205080757,226.0,65.5057249406,34.0,32.2645316098,53.0,37.2155881319,14.0,21.3541565041,17.0,21.5638586528,6.0,18.547236991,0.0,17.3205080757,31.0,32.4499614792,10.0,19.8997487421,5.0,16.2480768093,11.0,16.4316767251,24.0,30.4795013083,21.0,26.1533936612,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Arlington,4,685.0,105.366028681,59.0,40.2616442784,4.0,15.779733838,0.0,17.3205080757,10.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,45.0,38.6781592116,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,210.0,75.9012516366,10.0,22.1133443875,0.0,17.3205080757,24.0,35.902646142,10.0,20.6155281281,0.0,17.3205080757,17.0,23.6854385647,9.0,17.9164728672,34.0,32.0312347561,13.0,22.0907220344,40.0,33.7934904974,21.0,23.6220236221,17.0,18.4661853126,15.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,295.0,69.3253200497,42.0,38.9101529167,0.0,17.3205080757,8.0,17.9164728672,23.0,27.3861278753,28.0,23.4520787991,24.0,23.0,12.0,15.1657508881,0.0,17.3205080757,18.0,20.9761769634,31.0,23.3452350599,52.0,33.0,42.0,33.0302891298,6.0,12.2474487139,0.0,17.3205080757,7.0,17.9164728672,2.0,15.0,121.0,51.8748493973,6.0,17.3205080757,22.0,17.9722007556,28.0,30.4795013083,6.0,16.7630546143,16.0,29.5972971739,9.0,19.2093727123,22.0,20.6155281281,0.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,0.0,17.3205080757,6.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757,0.0,17.3205080757
Arlington Heights,5,170,69,29,24,0,10,9,14,0,10,0,10,7,13,13,22,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,67,55,28,44,19,31,11,16,0,10,0,10,4,6,0,10,0,10,0,10,0,10,5,8,0,10,0,10,0,10,0,10,0,10,63,53,10,14,44,50,9,14,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,11,13,11,13,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10
Banksville,6,2002.0,224.986666271,85.0,47.6864760703,0.0,20.0,0.0,20.0,18.0,32.9241552663,16.0,30.4138126515,0.0,20.0,0.0,20.0,11.0,24.9799919936,11.0,24.9799919936,0.0,20.0,0.0,20.0,14.0,28.0,15.0,30.4138126515,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,815.0,210.767644575,17.0,32.0780298647,0.0,20.0,75.0,79.8999374218,0.0,20.0,0.0,20.0,67.0,83.486525859,16.0,32.0780298647,28.0,35.721142199,32.0,33.8526217596,90.0,63.9531078213,242.0,152.587679712,64.0,56.6568618969,36.0,43.5430821141,84.0,67.1788657243,23.0,31.9374388453,41.0,51.6333225737,653.0,145.175755552,33.0,39.3954312072,42.0,69.2026011072,32.0,39.0512483796,0.0,20.0,32.0,39.0512483796,77.0,85.5394645763,0.0,20.0,14.0,28.0000000001,10.0,23.5796522451,87.0,59.4810894319,40.0,42.6731765867,118.0,60.5805249235,70.0,45.5302097513,34.0,34.205262753,64.0,44.3283205186,0.0,20.0,449.0,140.388745988,12.0,25.7099202644,0.0,20.0,74.0,56.0178542966,30.0,36.3868107973,26.0,32.3264597505,0.0,20.0,95.0,109.219961545,26.0,32.6343377441,13.0,26.4575131107,51.0,41.4366987102,44.0,36.2904946232,47.0,38.6005181312,0.0,20.0,0.0,20.0,0.0,20.0,31.0,51.0294032887
Bedford Dwellings,7,684,63,116,55,95,51,9,13,6,9,6,11,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,256,74,89,56,41,27,21,32,23,27,63,52,13,21,6,9,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,0,10,173,55,83,43,25,23,45,33,7,13,0,10,5,7,0,10,0,10,0,10,3,8,5,7,0,10,0,10,0,10,0,10,0,10,139,38,48,30,49,30,22,16,10,11,5,9,4,6,0,10,0,10,0,10,1,5,0,10,0,10,0,10,0,10,0,10,0,10
Beechview,8,3557.0,270.051846874,206.0,99.6594200264,0.0,31.6227766016,8.0,32.6955654485,57.0,66.1286624695,10.0,33.5410196625,19.0,43.1393092202,9.0,34.0,29.0,54.918120871,40.0,46.0977222865,0.0,31.6227766016,6.0,31.9530906173,0.0,31.6227766016,0.0,31.6227766016,28.0,42.5440947724,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,1246.0,204.58738964,143.0,81.3265024454,50.0,66.7308024828,31.0,39.0512483796,131.0,92.0814856526,59.0,58.5320425067,21.0,38.4187454245,76.0,52.3832034147,46.0,61.6522505673,60.0,44.9221548904,147.0,69.7638875064,91.0,59.7913037154,200.0,84.451169323,144.0,78.3517708799,10.0,34.0,19.0,35.7910603363,18.0,34.7131099154,1366.0,204.068615912,53.0,49.2950301754,111.0,73.6817480792,93.0,64.4980619864,35.0,38.2099463491,90.0,77.5628777186,91.0,71.4072825418,35.0,38.0131556175,123.0,83.2286008533,93.0,56.1337688029,101.0,54.9636243346,200.0,80.0936951327,169.0,75.2263251795,58.0,43.7264222181,62.0,43.4741302386,43.0,37.1214223865,9.0,33.5410196624,739.0,129.162688111,95.0,60.7124369466,20.0,35.4682957019,91.0,48.8057373677,83.0,53.5350352573,105.0,70.519500849,67.0,42.1188793773,48.0,36.7831483155,50.0,38.3796821249,25.0,35.5105618091,49.0,41.7851648316,39.0,39.5221456909,27.0,33.6749164809,11.0,34.4818792992,0.0,31.6227766016,21.0,37.0000000001,8.0,32.3109888428
Beltzhoover,9,869.0,146.594679303,34.0,43.1856457634,26.0,42.6731765867,0.0,20.0,0.0,20.0,0.0,20.0,8.0,21.0713075057,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,219.0,106.174384858,53.0,63.0634601017,14.0,28.0000000001,0.0,20.0,31.0,46.357307946,23.0,38.1575680566,0.0,20.0,21.0,37.2692903071,0.0,20.0,0.0,20.0,47.0,51.7880295048,16.0,29.5972971739,9.0,21.6564078277,0.0,20.0,0.0,20.0,5.0,20.0,0.0,20.0,365.0,111.328343202,16.0,24.269322199,99.0,77.6595132614,0.0,20.0,22.0,34.6410161514,27.0,29.9666481276,22.0,30.9354165965,21.0,28.4604989416,24.0,26.0959767014,14.0,22.4944437584,39.0,50.5272203866,34.0,38.5875627632,27.0,35.6791255498,0.0,20.0,0.0,20.0,20.0,29.5972971739,0.0,20.0,251.0,65.5972560401,23.0,27.7308492477,42.0,32.403703492,63.0,41.6413256273,15.0,22.2710574513,54.0,38.9358446678,9.0,23.579652245,0.0,20.0,6.0,20.0,6.0,19.519221296,16.0,23.1732604525,0.0,20.0,6.0,20.0,11.0,24.269322199,0.0,20.0,0.0,20.0,0.0,20.0
Bloomfield,10,4640.0,215.506380416,544.0,110.285991857,139.0,62.6099033699,40.0,47.0956473573,62.0,40.8289113252,67.0,56.5950527873,17.0,30.2820078593,58.0,47.7179211618,32.0,40.2119385258,12.0,32.1403173601,12.0,28.9482296523,36.0,43.8063922276,23.0,30.7896086366,35.0,47.8434948557,11.0,28.6879765756,0.0,31.6227766016,0.0,31.6227766016,0.0,31.6227766016,2227.0,215.079055232,195.0,83.2406150866,66.0,37.894590643,73.0,42.5440947724,162.0,71.2811335488,58.0,35.594943461,170.0,75.7825837511,140.0,73.0273921211,177.0,77.8138805099,105.0,46.8721665809,264.0,96.6798841538,277.0,96.1509230325,290.0,93.2255329833,99.0,45.9782557304,40.0,42.6380112107,81.0,51.0587896449,30.0,35.9583091928,1083.0,133.262898063,117.0,56.8506816142,60.0,44.7437146424,71.0,43.1161222746,49.0,36.8103246387,43.0,38.6910842442,55.0,42.5440947724,53.0,39.471508712,47.0,32.0624390838,40.0,31.7332633053,118.0,53.5350352573,76.0,48.072861367,149.0,65.3605385536,48.0,34.6265793865,117.0,58.6515131945,13.0,31.7490157326,27.0,36.7287353445,786.0,103.658091821,72.0,47.9895822028,108.0,48.4458460552,105.0,60.3903965876,65.0,37.9341534768,92.0,43.5315977193,71.0,37.6696164036,19.0,31.5119025131,43.0,36.9729630946,27.0,34.6554469023,26.0,30.4795013082,72.0,46.1627555505,39.0,38.1444622454,2.0,30.2654919008,22.0,36.7287353445,7.0,29.8161030318,16.0,34.9857113691
